S.N.,NAME,CATEGORY,LOCATION,CONTACT,LAT,LON
1,The Physique Workshop,Gym,Kumaripati,01-5521190,27.669905,85.321202
2,Titan Gym & Fitness,Gym,Kumaripati,985-1034751,27.669905,85.321202
3,Hardik Fitness Club,Gym,Pulchowk,01-5530002,27.676999,85.318743
4,Agni Fitness Club,Gym,Kumaripati,985-1119244,27.670987,85.321527
5,The Pump,Gym,Jhamsikhel,984-9279004,27.677421,85.310975
6,Platinum Fitness Club,Gym,Ekantakuna,01-5551318,27.669867,85.309503
7,Proton Fitness Centre,Gym,Ekantakuna,985-1057584,27.669953,85.309372
8,Bota Momo,Momo,Kumaripati,980-2055040,27.671088,85.318789
9,Sinka,Momo,Kumaripati,984-9289797,27.670758,85.319685
10,The Ghangri Café,Momo,Pulchowk,01-5528703,27.676126,85.314212
11,Great Tasty Boso Rahit Momo,Momo,Pulchowk,01-5534193,27.678047,85.315988
12,Nice Momo,Momo,Pulchowk,984-9353928,27.676746,85.317173
13,T Burger & Café,Momo,Kumaripati,9810583522,27.670052,85.321134
